Startup Name,Industry,Pitchers City,Pitchers State,Original Ask Amount,Original Offered Equity,Total Deal Amount,Total Deal Equity,Number of Sharks in Deal,Namita Investment Amount,Aman Investment Amount,Anupam Investment Amount,Vineeta Investment Amount,Peyush Investment Amount,Ritesh Investment Amount,Amit Investment Amount,Guest Investment Amount
BluePineFoods,Food and Beverage,Delhi,Delhi,50,5,75,16,3,0,25,0,25,0,0,0,25
BoozScooters,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,40,15,40,50,2,0,0,0,20,0,0,0,20
HeartUpMySleeves,Beauty/Fashion,Delhi,Delhi,25,10,25,30,2,0,0,12.5,12.5,0,0,0,0
TagzFoods,Food and Beverage,Bangalore,Karnataka,70,1,70,2.75,1,0,0,0,0,0,0,0,70
HeadAndHeart,Children/Education,Patiala,Punjab,50,5,0,0,0,0,0,0,0,0,0,0,0
Agritourism,Agriculture,Baramati,Maharashtra,50,5,0,0,0,0,0,0,0,0,0,0,0
qZenseLabs,Food and Beverage,"Delhi,Mohali","Delhi,Punjab",100,0.25,0,0,0,0,0,0,0,0,0,0,0
Peeschute,Beauty/Fashion,Jalna,Maharashtra,75,4,75,6,1,0,75,0,0,0,0,0,0
NOCD,Food and Beverage,Bangalore,Karnataka,50,2,20,15,1,0,0,0,20,0,0,0,0
CosIQ,Beauty/Fashion,Delhi,Delhi,50,7.5,50,25,2,0,0,25,25,0,0,0,0
JhaJiAchaar,Food and Beverage,Darbhanga,Bihar,50,10,56.6,5.62,2,28.3,0,0,28.3,0,0,0,0
Bummer,Beauty/Fashion,Ahmedabad,Gujarat,75,4,75,7.5,2,37.5,37.5,0,0,0,0,0,0
RevampMoto,Vehicles/Electrical Vehicles,Nashik,Maharashtra,100,1,100,1.5,2,0,50,50,0,0,0,0,0
HungryHead,Food and Beverage,Mumbai,Maharashtra,50,5,0,0,0,0,0,0,0,0,0,0,0
ShrawaniEngineers,Beauty/Fashion,Nagpur,Maharashtra,20,10,0,0,0,0,0,0,0,0,0,0,0
SkippiIcePops,Food and Beverage,Hyderabad,Telangana,45,5,100,15,5,20,20,20,20,0,0,0,20
Menstrupedia,Children/Education,Ahmedabad,Gujarat,50,10,50,20,1,50,0,0,0,0,0,0,0
Hecoll,Beauty/Fashion,Hyderabad,Telangana,100,1,0,0,0,0,0,0,0,0,0,0,0
RaisingSuperstars,Children/Education,Gurgaon,Haryana,100,2,100,4,2,0,50,0,0,0,0,0,50
Torch-it,Children/Education,Ahmedabad,Gujarat,75,1,0,0,0,0,0,0,0,0,0,0,0
Kavach,Children/Education,Gurgaon,Haryana,5,10,5,10,2,0,2.5,2.5,0,0,0,0,0
LaKheerDeli,Food and Beverage,Pune,Maharashtra,50,7.5,0,0,0,0,0,0,0,0,0,0,0
BeyondSnack,Food and Beverage,Thiruvananthapuram,Kerala,50,2.5,50,2.5,2,0,25,0,0,0,0,0,25
VivalyfInnovations,Medical/Health,Hyderabad,Telangana,56,7.5,56,33.33,2,0,0,28,0,28,0,0,0
MotionBreeze,Vehicles/Electrical Vehicles,Vadodara,Gujarat,30,3,30,6,1,0,0,0,0,0,0,0,30
Altor,Manufacturing,Kolkata,West Bengal,50,5,50,7,2,25,25,0,0,0,0,0,0
Ariro,Manufacturing,Chennai,Tamil Nadu,50,2.5,50,10,2,0,25,0,0,25,0,0,0
KabiraHandmad,Food and Beverage,Jaipur,Rajasthan,100,5,0,0,0,0,0,0,0,0,0,0,0
Nuutjob,Beauty/Fashion,Ahmedabad,Gujarat,25,5,25,20,3,8.33,8.33,0,0,8.33,0,0,0
Meatyour,Food and Beverage,Pune,Maharashtra,30,5,30,20,3,0,10,10,0,10,0,0,0
EventBeep,Children/Education,Pune,Maharashtra,30,2,30,3,3,0,10,0,0,10,0,0,10
Gopal's56,Food and Beverage,Delhi,Delhi,30000,25,0,0,0,0,0,0,0,0,0,0,0
ARRCOATSurfaceTextures,Manufacturing,Delhi,Delhi,50,5,50,15,1,0,0,50,0,0,0,0,0
Farda,Beauty/Fashion,Nagpur,Maharashtra,30,10,30,20,2,15,15,0,0,0,0,0,0
Auli,Beauty/Fashion,Kolkata,West Bengal,75,4,75,15,1,75,0,0,0,0,0,0,0
SweeDesi,Food and Beverage,Pune,Maharashtra,40,3,0,0,0,0,0,0,0,0,0,0,0
LOKA,Technology/Software,Delhi,Delhi,40,5,40,24,3,0,13.33,13.33,0,13.33,0,0,0
Annie,Children/Education,Bangalore,Karnataka,30,0.5,105,3,3,35,0,35,0,35,0,0,0
Carragreen,Green/CleanTech,Indore,Madhya Pradesh,50,10,50,20,2,0,0,25,0,25,0,0,0
TheYarnBazaar,Manufacturing,Mumbai,Maharashtra,50,2,100,10,4,0,25,25,0,25,0,0,25
TheRenalProject,Medical/Health,Mumbai,Maharashtra,100,3,100,6,2,50,50,0,0,0,0,0,0
MorrikoPureFoods,Food and Beverage,Valsad,Gujarat,100,3,0,0,0,0,0,0,0,0,0,0,0
GoodGoodPiggy,Technology/Software,Delhi,Delhi,45,5,0,0,0,0,0,0,0,0,0,0,0
HammerLifestyle,Electronics,Panipat,Haryana,30,3,100,40,1,0,100,0,0,0,0,0,0
PNTRobotics,Technology/Software,Mumbai,Maharashtra,50,4,25,25,1,0,0,0,0,25,0,0,0
Cocofit,Food and Beverage,Hyderabad,Telangana,5.00E-05,5,5.00E-05,5,3,1.60E-05,1.60E-05,1.60E-05,0,0,0,0,0
BambooIndia,Manufacturing,Pune,Maharashtra,80,4,50,3.5,2,0,0,25,0,0,0,0,25
FlyingFur,Animal/Pets,Delhi,Delhi,75,7,0,0,0,0,0,0,0,0,0,0,0
BeyondWater,Food and Beverage,Kolkata,West Bengal,75,4,75,15,2,37.5,37.5,0,0,0,0,0,0
Let'sTry,Food and Beverage,Delhi,Delhi,45,2,45,12,2,0,22.5,22.5,0,0,0,0,0
FindYourKicksIndia,Beauty/Fashion,Ludhiana,Punjab,50,10,50,25,5,10,10,10,0,10,0,0,10
AasVidyalaya,Children/Education,Mumbai,Maharashtra,150,3,150,15,3,50,0,0,0,50,0,0,50
Outbox,Business Services,Kolkata,West Bengal,50,5,0,0,0,0,0,0,0,0,0,0,0
RoadBounce,Technology/Software,Pune,Maharashtra,80,10,80,20,1,0,0,0,0,80,0,0,0
Mommy'sKitchen,Food and Beverage,Mumbai,Maharashtra,90,3,0,0,0,0,0,0,0,0,0,0,0
IndiaHempandCo,Food and Beverage,Bangalore,Karnataka,50,4,0,0,0,0,0,0,0,0,0,0,0
Otua,Vehicles/Electrical Vehicles,Gurgaon,Haryana,100,1,1,1,1,0,0,0,0,0,0,0,1
Anthyesti,Business Services,Bangalore,Karnataka,50,2.5,0,0,0,0,0,0,0,0,0,0,0
Ethik,Manufacturing,Bangalore,Karnataka,15,5,0,0,0,0,0,0,0,0,0,0,0
WeSTOCK,Animal/Pets,Ernakulam,Kerala,50,5,60,10,4,15,15,0,0,15,0,0,15
KetoIndia,Food and Beverage,Delhi,Delhi,150,1.25,0,0,0,0,0,0,0,0,0,0,0
Magiclock,Hardware,Mumbai,Maharashtra,120,8,0,0,0,0,0,0,0,0,0,0,0
TheStatePlate,Food and Beverage,"Bangalore,Kolkata","Karnataka,West Bengal",65,2,40,3,1,0,0,0,0,40,0,0,0
Bakarmax,Technology/Software,Delhi,Delhi,35,5,0,0,0,0,0,0,0,0,0,0,0
INACAN,Food and Beverage,Pune,Maharashtra,50,2,100,10,5,20,20,20,0,20,0,0,20
Get-A-Whey,Food and Beverage,Mumbai,Maharashtra,100,8,100,15,3,0,33.33,0,33.33,0,0,0,33.33
Sid07Designs,Hardware,Jammu,Jammu & Kashmir,47,10,25,75,1,0,0,0,0,25,0,0,0
TheQuirkyNaari,Beauty/Fashion,Mathura,Uttar Pradesh,35,5,35,24,2,0,0,17.5,17.5,0,0,0,0
HairOriginals,Beauty/Fashion,Gurgaon,Haryana,60,2,60,4,3,0,0,20,0,20,0,0,20
Poo-de-Cologne,Beauty/Fashion,Mumbai,Maharashtra,75,5,0,0,0,0,0,0,0,0,0,0,0
Moonshine,Food and Beverage,Mumbai,Maharashtra,80,0.5,0,0,0,0,0,0,0,0,0,0,0
Falhari,Food and Beverage,Gurgaon,Haryana,50,2,0,0,0,0,0,0,0,0,0,0,0
NamhyaFoods,Food and Beverage,Jammu,Jammu & Kashmir,100,5,50,10,1,0,50,0,0,0,0,0,0
UrbanMonkey,Beauty/Fashion,Mumbai,Maharashtra,100,1,0,0,0,0,0,0,0,0,0,0,0
GuardianGears,Manufacturing,Hyderabad,Telangana,30,5,0,0,0,0,0,0,0,0,0,0,0
ModernMyth,Beauty/Fashion,Delhi,Delhi,75,5,0,0,0,0,0,0,0,0,0,0,0
TheSassBar,Beauty/Fashion,Mumbai,Maharashtra,40,8,50,35,2,0,0,25,0,0,0,0,25
KGAgrotech,Agriculture,Malegaon,Maharashtra,30,10,10,40,1,0,0,0,0,10,0,0,0
NuskhaKitchen,Food and Beverage,Jaipur,Rajasthan,20,10,0,0,0,0,0,0,0,0,0,0,0
PawsIndia,Animal/Pets,Mumbai,Maharashtra,50,4,50,15,1,0,0,50,0,0,0,0,0
SunfoxTechnologies,Medical/Health,Dehradun,Uttarakhand,100,2,100,6,5,20,0,20,20,20,0,0,20
Alpino,Food and Beverage,Surat,Gujarat,150,2,0,0,0,0,0,0,0,0,0,0,0
IsakFragrances,Beauty/Fashion,Lucknow,Uttar Pradesh,50,8,50,50,1,0,0,0,0,50,0,0,0
JulaaAutomation,Manufacturing,Ahmedabad,Gujarat,50,10,0,0,0,0,0,0,0,0,0,0,0
RarePlanet,Manufacturing,Kolkata,West Bengal,65,1,65,3,1,65,0,0,0,0,0,0,0
ThekaCoffee,Food and Beverage,Gandhinagar,Gujarat,50,10,0,0,0,0,0,0,0,0,0,0,0
WattTechnovations,Medical/Health,Pune,Maharashtra,0.00101,2,0.00101,4,4,0.0002525,0,0.0002525,0,0.0002525,0,0,0.0002525
AlisteTechnologies,Technology/Software,Noida,Uttar Pradesh,60,5,0,0,0,0,0,0,0,0,0,0,0
InsuranceSamadhan,Business Services,Noida,Uttar Pradesh,100,1,100,4,1,0,0,0,0,100,0,0,0
HumpyA2,Food and Beverage,Pune,Maharashtra,75,4,100,15,3,0,0,0,33.33,33.33,0,0,33.33
KunafaWorld,Food and Beverage,Mangalore,Karnataka,90,5,0,0,0,0,0,0,0,0,0,0,0
GoldSafeSolutions,Manufacturing,Mumbai,Maharashtra,50,5,50,30,3,0,0,0,16.66,16.66,0,0,16.66
WakaoFoods,Food and Beverage,Goa,Goa,75,5,75,21,3,25,0,0,25,0,0,0,25
PDDFalcon,Manufacturing,Gandhinagar,Gujarat,75,3,0,0,0,0,0,0,0,0,0,0,0
PlayBoxTV,Business Services,Mumbai,Maharashtra,100,3.5,0,0,0,0,0,0,0,0,0,0,0
Sippline,Manufacturing,Pune,Maharashtra,75,15,0,0,0,0,0,0,0,0,0,0,0
KabaddiAdda,Fitness/Sports/Outdoors,Bangalore,Karnataka,80,1,80,6,2,40,0,0,40,0,0,0,0
ShadesofSpring,Business Services,Bangalore,Karnataka,300,1,0,0,0,0,0,0,0,0,0,0,0
Scholify,Children/Education,Bangalore,Karnataka,50,7.5,0,0,0,0,0,0,0,0,0,0,0
Scrapshala,Manufacturing,Varanasi,Uttar Pradesh,50,10,0,0,0,0,0,0,0,0,0,0,0
Sabjikothi,Manufacturing,Bhagalpur,Bihar,60,2.5,0,0,0,0,0,0,0,0,0,0,0
AyuRythm,Medical/Health,Bangalore,Karnataka,75,2,75,2.68,1,0,75,0,0,0,0,0,0
Astrix,Manufacturing,Coimbatore,Tamil Nadu,75,3,0,0,0,0,0,0,0,0,0,0,0
TheaAndSid,Business Services,Mumbai,Maharashtra,80,7,0,0,0,0,0,0,0,0,0,0,0
ExperentialEtc,Technology/Software,Mumbai,Maharashtra,200,4,0,0,0,0,0,0,0,0,0,0,0
GrowFitter,Technology/Software,Mumbai,Maharashtra,50,1,50,2,1,0,50,0,0,0,0,0,0
C3Med-Tech,Medical/Health,Ahmedabad,Gujarat,35,6,0,0,0,0,0,0,0,0,0,0,0
ColourMeMad-CMM,Beauty/Fashion,Mumbai,Maharashtra,40,10,40,25,1,40,0,0,0,0,0,0,0
Mavi's,Food and Beverage,Thane,Maharashtra,40,5,0,0,0,0,0,0,0,0,0,0,0
TweekLabs,Fitness/Sports/Outdoors,Delhi,Delhi,40,2,60,10,3,0,0,20,0,20,0,0,20
Proxgy,Technology/Software,Delhi,Delhi,35,1,100,10,2,0,0,0,0,50,0,0,50
NomadFoodProject,Food and Beverage,"Delhi,Pune","Delhi,Maharashtra",40,10,40,20,4,10,0,0,10,0,0,0,20
TweeInOne,Beauty/Fashion,Mumbai,Maharashtra,30,7.5,0,0,0,0,0,0,0,0,0,0,0
GreenProtein,Food and Beverage,Mumbai,Maharashtra,60,2,0,0,0,0,0,0,0,0,0,0,0
On2Cook,Food and Beverage,Ahmedabad,Gujarat,100,1,0,0,0,0,0,0,0,0,0,0,0
JainShikanji,Food and Beverage,Modinagar,Uttar Pradesh,40,8,40,30,4,0,10,10,10,0,0,0,10
Woloo,Technology/Software,Mumbai,Maharashtra,50,4,0,0,0,0,0,0,0,0,0,0,0
ElcareIndia,Medical/Health,Mumbai,Maharashtra,100,2.5,0,0,0,0,0,0,0,0,0,0,0
SneaKare,Beauty/Fashion,Delhi,Delhi,20,5,21,12,3,7,7,0,7,0,0,0,0
FrenchCrown,Beauty/Fashion,Surat,Gujarat,150,0.33,0,0,0,0,0,0,0,0,0,0,0
StoreMyGoods,Business Services,Noida,Uttar Pradesh,100,1.75,50,4,2,25,0,0,0,25,0,0,0
Devnagri,Technology/Software,Delhi,Delhi,100,1,0,0,0,0,0,0,0,0,0,0,0
WitBlox,Manufacturing,Mumbai,Maharashtra,60,3,60,10,2,0,0,0,0,30,0,0,30
Kineer,Food and Beverage,Pune,Maharashtra,100,10,0,0,0,0,0,0,0,0,0,0,0
PiChem,Manufacturing,Lucknow,Uttar Pradesh,40,5,0,0,0,0,0,0,0,0,0,0,0
Clensta,Beauty/Fashion,Delhi,Delhi,100,1,0,0,0,0,0,0,0,0,0,0,0
InfinitiInsects,Animal/Pets,Bangalore,Karnataka,25,10,0,0,0,0,0,0,0,0,0,0,0
AshwaPro,Business Services,Jaipur,Rajasthan,50,10,0,0,0,0,0,0,0,0,0,0,0
Mine4Nine,Beauty/Fashion,Gurgaon,Haryana,75,4,0,0,0,0,0,0,0,0,0,0,0
StudioBeej,Beauty/Fashion,Mumbai,Maharashtra,75,7.5,0,0,0,0,0,0,0,0,0,0,0
Sattuz,Food and Beverage,Madhubani,Bihar,25,5,0,0,0,0,0,0,0,0,0,0,0
Scintiglo,Medical/Health,Indore,Madhya Pradesh,75,1,0,0,0,0,0,0,0,0,0,0,0
Glii,Business Services,Noida,Uttar Pradesh,40,4,0,0,0,0,0,0,0,0,0,0,0
StanleeIndia,Electronics,Delhi,Delhi,60,3,0,0,0,0,0,0,0,0,0,0,0
SpaceKidzIndia,Manufacturing,Chennai,Tamil Nadu,100,2,0,0,0,0,0,0,0,0,0,0,0
UrbanNaps,Business Services,Ahmedabad,Gujarat,50,4,0,0,0,0,0,0,0,0,0,0,0
Gizmoswala,Entertainment,Mumbai,Maharashtra,75,5,0,0,0,0,0,0,0,0,0,0,0
ZyppElectric,Vehicles/Electrical Vehicles,Gurgaon,Haryana,220,1,0,0,0,0,0,0,0,0,0,0,0
Picsniff,Technology/Software,Mumbai,Maharashtra,55,1,0,0,0,0,0,0,0,0,0,0,0
Deciwood,Electronics,Delhi,Delhi,50,3.5,0,0,0,0,0,0,0,0,0,0,0
HappyBar,Food and Beverage,Hyderabad,Telangana,60,2,0,0,0,0,0,0,0,0,0,0,0
Tathastulive,Business Services,Ahmedabad,Gujarat,50,10,0,0,0,0,0,0,0,0,0,0,0
BandsandCups,Beauty/Fashion,Chennai,Tamil Nadu,40,10,0,0,0,0,0,0,0,0,0,0,0
MyWealthProtector,Business Services,Mumbai,Maharashtra,50,2.5,0,0,0,0,0,0,0,0,0,0,0
TheIris,Manufacturing,Bangalore,Karnataka,10,15,0,0,0,0,0,0,0,0,0,0,0
Canebot,Food and Beverage,Pune,Maharashtra,100,2.5,0,0,0,0,0,0,0,0,0,0,0
OyeDelhiOye,Food and Beverage,Delhi,Delhi,35,10,0,0,0,0,0,0,0,0,0,0,0
InaliAssistiveTech,Medical/Health,Pune,Maharashtra,50,5,0,0,0,0,0,0,0,0,0,0,0
Meera'sCelebrations,Business Services,Ludhiana,Punjab,50,25,0,0,0,0,0,0,0,0,0,0,0
Artment,Lifestyle/Home,Gurgaon,Haryana,170,2.5,0,0,0,0,0,0,0,0,0,0,0
Powertree,Manufacturing,Gandhinagar,Gujarat,150,2.5,0,0,0,0,0,0,0,0,0,0,0
Eume,Beauty/Fashion,Mumbai,Maharashtra,150,2,0,0,0,0,0,0,0,0,0,0,0
Hoovu,Business Services,Bangalore,Karnataka,80,1,100,2,2,0,50,0,0,50,0,0,0
Dorji,Food and Beverage,Darjeeling,West Bengal,30,5,30,15,3,0,0,10,10,10,0,0,0
Recode,Beauty/Fashion,Ludhiana,Punjab,100,1,0,0,0,0,0,0,0,0,0,0,0
VeryMuchIndian,Beauty/Fashion,Pune,Maharashtra,50,3,50,10,2,25,25,0,0,0,0,0,0
WatchoutWearables,Electronics,Thane,Maharashtra,200,5,100,10,2,0,0,50,50,0,0,0,0
SoupX,Food and Beverage,Delhi,Delhi,75,6,50,18,1,0,0,0,50,0,0,0,0
ATMOSPHERE,Food and Beverage,Delhi,Delhi,75,3,0,0,0,0,0,0,0,0,0,0,0
Stage,Entertainment,"Bhiwani,Barnagar","Haryana,Madhya Pradesh",300,1,150,0.6,3,50,50,0,0,50,0,0,0
Girgit,Beauty/Fashion,Mumbai,Maharashtra,20,10,20,20,1,20,0,0,0,0,0,0,0
GearHeadMotors,Vehicles/Electrical Vehicles,Hyderabad,Telangana,75,2,100,6.67,2,0,50,0,0,50,0,0,0
PatilKaki,Food and Beverage,Mumbai,Maharashtra,40,2.5,40,4,2,0,0,20,0,20,0,0,0
Brandsdaddy,Manufacturing,Mumbai,Maharashtra,70,5,35,5,1,35,0,0,0,0,0,0,0
Winston,Beauty/Fashion,Faridabad,Haryana,100,4,100,10,2,0,0,50,50,0,0,0,0
Flatheads,Beauty/Fashion,Bangalore,Karnataka,75,3,0,0,0,0,0,0,0,0,0,0,0
OrganicSmokes,Beauty/Fashion,Delhi,Delhi,100,1,0,0,0,0,0,0,0,0,0,0,0
TeaFit,Food and Beverage,Mumbai,Maharashtra,50,3,50,8,4,0,12.5,12.5,12.5,12.5,0,0,0
Haqdarshak,Business Services,Shimla,Himachal Pradesh,100,0.5,100,2,3,33.33,33.33,0,0,33.33,0,0,0
Bhaskar'sPuranpoliGhar,Food and Beverage,Thane,Maharashtra,75,1,0,0,0,0,0,0,0,0,0,0,0
GunjanAppsStudios,Technology/Software,Kolkata,West Bengal,250,1,0,0,0,0,0,0,0,0,0,0,0
TheSimplySalad,Food and Beverage,Ahmedabad,Gujarat,30,10,30,10,2,0,15,0,15,0,0,0,0
AyuSynk,Medical/Health,Mumbai,Maharashtra,100,1.5,50,3.5,1,50,0,0,0,0,0,0,0
AtypicalAdvantage,Technology/Software,Jamshedpur,Jharkhand,30,1,30,3,2,15,15,0,0,0,0,0,0
HouseOfChikankari,Beauty/Fashion,Delhi,Delhi,75,1,75,3.75,2,0,37.5,0,0,37.5,0,0,0
MagicOfMemories,Beauty/Fashion,Delhi,Delhi,25,5,0,0,0,0,0,0,0,0,0,0,0
Paradyes,Beauty/Fashion,Ahmedabad,Gujarat,65,1,65,2,2,0,32.5,0,32.5,0,0,0,0
Nestroots,Lifestyle/Home,Delhi,Delhi,50,1,50,2,1,50,0,0,0,0,0,0,0
Zillionaire,Beauty/Fashion,Jaipur,Rajasthan,50,3.3,100,10,1,0,0,100,0,0,0,0,0
Credmate,Technology/Software,Ludhiana,Punjab,50,5,0,0,0,0,0,0,0,0,0,0,0
Freebowler,Fitness/Sports/Outdoors,Bangalore,Karnataka,75,7.5,25,7.5,1,25,0,0,0,0,0,0,0
ABCSports&Fitness,Fitness/Sports/Outdoors,Pune,Maharashtra,40,2,40,10,1,0,0,0,0,40,0,0,0
Primebook,Technology/Software,Delhi,Delhi,75,1.5,75,3,2,0,37.5,0,0,37.5,0,0,0
DailyDump,Manufacturing,Bangalore,Karnataka,80,4,30,4,1,30,0,0,0,0,0,0,0
GharSoaps,Beauty/Fashion,Pune,Maharashtra,60,2,60,4,1,0,60,0,0,0,0,0,0
Janitri,Medical/Health,Alwar,Rajasthan,100,2.5,100,2.5,1,100,0,0,0,0,0,0,0
JaipurWatchCompany,Manufacturing,Jaipur,Rajasthan,50,2,0,0,0,0,0,0,0,0,0,0,0
InsideFPV,Manufacturing,Surat,Gujarat,75,4,75,15,4,18.75,18.75,0,0,18.75,0,18.75,0
Angrakhaa,Beauty/Fashion,Delhi,Delhi,40,5,40,20,1,0,0,0,0,0,0,40,0
Diabexy,Food and Beverage,Gurgaon,Haryana,150,1,0,0,0,0,0,0,0,0,0,0,0
Kyari,Manufacturing,Ghaziabad,Uttar Pradesh,51,1,51,6,2,0,0,25.5,0,25.5,0,0,0
MoppFoods,Food and Beverage,Delhi,Delhi,75,2.25,75,5,1,0,0,0,0,0,0,75,0
Econiture,Green/CleanTech,Amaravati,Maharashtra,50,8,0,0,0,0,0,0,0,0,0,0,0
Dobiee,Food and Beverage,Shinde,Maharashtra,72,2,72,6.5,1,0,0,0,0,0,0,72,0
FastBeetle,Business Services,Srinagar,Jammu & Kashmir,90,3,90,7.5,2,0,45,0,0,45,0,0,0
Pflow,Medical/Health,Dhule,Maharashtra,60,1,60,6,2,30,0,0,0,0,0,30,0
VSMani,Food and Beverage,Bangalore,Karnataka,60,1.5,19,1,1,19,0,0,0,0,0,0,0
Sepal,Manufacturing,Hyderabad,Telangana,50,1,50,2,1,0,0,0,0,50,0,0,0
Solinas,Business Services,Chennai,Tamil Nadu,90,2,90,3,2,0,0,45,0,45,0,0,0
AvimeeHerbal,Beauty/Fashion,Surat,Gujarat,280,0.5,0,0,0,0,0,0,0,0,0,0,0
eyenic,Beauty/Fashion,Delhi,Delhi,75,6,0,0,0,0,0,0,0,0,0,0,0
ekatra,Lifestyle/Home,Kota,Rajasthan,40,10,20,20,2,0,0,0,0,10,0,10,0
Raasa,Food and Beverage,Delhi,Delhi,50,5,50,25,1,0,0,50,0,0,0,0,0
NeoMotion,Manufacturing,Chennai,Tamil Nadu,100,1,100,1,1,0,0,0,0,100,0,0,0
licksters,Food and Beverage,Nagpur,Maharashtra,50,5,25,5,1,0,0,0,0,0,0,25,0
Sayonara,Beauty/Fashion,Kolkata,West Bengal,100,1,0,0,0,0,0,0,0,0,0,0,0
PMV,Vehicles/Electrical Vehicles,Mumbai,Maharashtra,100,1,0,0,0,0,0,0,0,0,0,0,0
SpiceStory,Food and Beverage,Mumbai,Maharashtra,70,2,70,5,1,70,0,0,0,0,0,0,0
Bullspree,Technology/Software,Ahmedabad,Gujarat,75,1.5,75,2.86,2,0,37.5,0,0,37.5,0,0,0
